title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Seandainya,Vierratale,outro,G,V,235.21814059,239.026213152
Seandainya,Vierratale,outro,Am,vi,239.026213152,241.023129252
Seandainya,Vierratale,outro,F,IV,241.023129252,242.81106576
Seandainya,Vierratale,outro,G,V,242.81106576,246.712018141
Seandainya,Vierratale,outro,Am,vi,246.712018141,248.569614512
Seandainya,Vierratale,outro,F,IV,248.569614512,250.589750567
Seandainya,Vierratale,outro,G,V,250.589750567,255.396281179
Seandainya,Vierratale,outro,Am,vi,255.396281179,265.404
Rasa Ini,Vierratale,intro,F,IV,1.555736961,3.506213152
Rasa Ini,Vierratale,intro,Em,iii,3.506213152,4.411791383
Rasa Ini,Vierratale,intro,Am,vi,4.411791383,5.433469388
Rasa Ini,Vierratale,intro,Dm,ii,5.433469388,6.455147392
Rasa Ini,Vierratale,intro,G,V,6.455147392,7.29106576
Rasa Ini,Vierratale,intro,C,I,7.29106576,9.24154195
Rasa Ini,Vierratale,intro,F,IV,9.24154195,11.215238095
Rasa Ini,Vierratale,intro,Em,iii,11.215238095,12.097596372
Rasa Ini,Vierratale,intro,Am,vi,12.097596372,13.119274376
Rasa Ini,Vierratale,intro,Dm,ii,13.119274376,16.904126984
Rasa Ini,Vierratale,intro,G,V,16.904126984,20.758639456
Rasa Ini,Vierratale,verse,F,IV,20.758639456,22.685895692
Rasa Ini,Vierratale,verse,Em,iii,22.685895692,24.566712018
Rasa Ini,Vierratale,verse,Dm,ii,24.566712018,25.565170068
Rasa Ini,Vierratale,verse,G,V,25.565170068,26.540408163
Rasa Ini,Vierratale,verse,C,I,26.540408163,28.467664399
Rasa Ini,Vierratale,verse,F,IV,28.467664399,30.37170068
Rasa Ini,Vierratale,verse,Em,iii,30.37170068,32.298956916
Rasa Ini,Vierratale,verse,Dm,ii,32.298956916,33.250975057
Rasa Ini,Vierratale,verse,G,V,33.250975057,34.226213152
Rasa Ini,Vierratale,verse,C,I,34.226213152,36.037369615
Rasa Ini,Vierratale,verse,F,IV,36.037369615,38.034285714
Rasa Ini,Vierratale,verse,Em,iii,38.034285714,40.031201814
Rasa Ini,Vierratale,verse,Dm,ii,40.031201814,40.96
Rasa Ini,Vierratale,verse,G,V,40.96,41.912018141
Rasa Ini,Vierratale,verse,C,I,41.912018141,43.792834467
Rasa Ini,Vierratale,verse,F,IV,43.792834467,45.720090703
Rasa Ini,Vierratale,verse,Em,iii,45.720090703,47.624126984
Rasa Ini,Vierratale,verse,Dm,ii,47.624126984,48.599365079
Rasa Ini,Vierratale,verse,G,V,48.599365079,49.55138322
Rasa Ini,Vierratale,verse,C,I,49.55138322,51.432199546
Rasa Ini,Vierratale,pre-chorus,Dm,ii,51.432199546,53.382675737
Rasa Ini,Vierratale,pre-chorus,G,V,53.382675737,55.240272109
Rasa Ini,Vierratale,pre-chorus,Em,iii,55.240272109,57.237188209
Rasa Ini,Vierratale,pre-chorus,Am,vi,57.237188209,59.164444444
Rasa Ini,Vierratale,pre-chorus,Dm,ii,59.164444444,62.995736961
Rasa Ini,Vierratale,pre-chorus,G,V,62.995736961,66.827029478
Rasa Ini,Vierratale,chorus,C,I,66.827029478,68.777505669
Rasa Ini,Vierratale,chorus,G,V,68.777505669,70.635102041
Rasa Ini,Vierratale,chorus,Am,vi,70.635102041,72.469478458
Rasa Ini,Vierratale,chorus,G,V,72.469478458,73.421496599
Rasa Ini,Vierratale,chorus,C,I,73.421496599,74.466394558
Rasa Ini,Vierratale,chorus,F,IV,74.466394558,76.486530612
Rasa Ini,Vierratale,chorus,Em,iii,76.486530612,78.367346939
Rasa Ini,Vierratale,chorus,Am,vi,78.367346939,80.294603175
Rasa Ini,Vierratale,chorus,G,V,80.294603175,82.152199546
Rasa Ini,Vierratale,chorus,C,I,82.152199546,84.102675737
Rasa Ini,Vierratale,chorus,G,V,84.102675737,86.006712018
Rasa Ini,Vierratale,chorus,Am,vi,86.006712018,87.933968254
Rasa Ini,Vierratale,chorus,G,V,87.933968254,88.746666667
Rasa Ini,Vierratale,chorus,C,I,88.746666667,89.86122449
Rasa Ini,Vierratale,chorus,F,IV,89.86122449,91.788480726
Rasa Ini,Vierratale,chorus,Em,iii,91.788480726,93.738956916
Rasa Ini,Vierratale,chorus,Am,vi,93.738956916,95.550113379
Rasa Ini,Vierratale,chorus,G,V,95.550113379,97.500589569
Rasa Ini,Vierratale,interlude,F,IV,97.500589569,99.45106576
Rasa Ini,Vierratale,interlude,Em,iii,99.45106576,100.324716553
Rasa Ini,Vierratale,interlude,Am,vi,100.324716553,101.424761905
Rasa Ini,Vierratale,interlude,Dm,ii,101.424761905,102.353560091
Rasa Ini,Vierratale,interlude,G,V,102.353560091,103.259138322
Rasa Ini,Vierratale,interlude,C,I,103.259138322,105.232834467
Rasa Ini,Vierratale,interlude,F,IV,105.232834467,107.090430839
Rasa Ini,Vierratale,interlude,Em,iii,107.090430839,108.088888889
Rasa Ini,Vierratale,interlude,Am,vi,108.088888889,109.087346939
Rasa Ini,Vierratale,interlude,Dm,ii,109.087346939,111.037823129
Rasa Ini,Vierratale,interlude,G,V,111.037823129,112.895419501
Rasa Ini,Vierratale,interlude,C,I,112.895419501,114.799455782
Rasa Ini,Vierratale,pre-chorus,Dm,ii,114.799455782,116.749931973
Rasa Ini,Vierratale,pre-chorus,G,V,116.749931973,118.653968254
Rasa Ini,Vierratale,pre-chorus,Em,iii,118.653968254,120.558004535
Rasa Ini,Vierratale,pre-chorus,Am,vi,120.558004535,122.485260771
Rasa Ini,Vierratale,pre-chorus,Dm,ii,122.485260771,126.316553288
Rasa Ini,Vierratale,pre-chorus,G,V,126.316553288,130.217505669
Rasa Ini,Vierratale,chorus,C,I,130.217505669,132.051882086
Rasa Ini,Vierratale,chorus,G,V,132.051882086,134.095238095
Rasa Ini,Vierratale,chorus,Am,vi,134.095238095,135.883174603
Rasa Ini,Vierratale,chorus,G,V,135.883174603,136.76553288
Rasa Ini,Vierratale,chorus,C,I,136.76553288,137.903310658
Rasa Ini,Vierratale,chorus,F,IV,137.903310658,139.830566893
Rasa Ini,Vierratale,chorus,Em,iii,139.830566893,141.734603175
Rasa Ini,Vierratale,chorus,Am,vi,141.734603175,143.70829932
Rasa Ini,Vierratale,chorus,G,V,143.70829932,145.519455782
Rasa Ini,Vierratale,chorus,C,I,145.519455782,147.516371882
Rasa Ini,Vierratale,chorus,G,V,147.516371882,149.397188209
Rasa Ini,Vierratale,chorus,Am,vi,149.397188209,151.208344671
Rasa Ini,Vierratale,chorus,G,V,151.208344671,152.206802721
Rasa Ini,Vierratale,chorus,C,I,152.206802721,153.205260771
Rasa Ini,Vierratale,chorus,F,IV,153.205260771,155.132517007
Rasa Ini,Vierratale,chorus,Em,iii,155.132517007,157.082993197
Rasa Ini,Vierratale,chorus,Am,vi,157.082993197,158.987029478
Rasa Ini,Vierratale,chorus,G,V,158.987029478,160.914285714
Rasa Ini,Vierratale,interlude,F,IV,160.914285714,164.768798186
Rasa Ini,Vierratale,interlude,G,V,164.768798186,168.553650794
Rasa Ini,Vierratale,interlude,Am,vi,168.553650794,170.550566893
Rasa Ini,Vierratale,interlude,G,V,170.550566893,172.384943311
Rasa Ini,Vierratale,interlude,C,I,172.384943311,176.285895692
Rasa Ini,Vierratale,interlude,Dm,ii,176.285895692,180.117188209
Rasa Ini,Vierratale,interlude,G,V,180.117188209,183.948480726
Rasa Ini,Vierratale,chorus,C,I,183.948480726,185.806077098
Rasa Ini,Vierratale,chorus,G,V,185.806077098,187.802993197
Rasa Ini,Vierratale,chorus,Am,vi,187.802993197,189.776689342
Rasa Ini,Vierratale,chorus,G,V,189.776689342,190.61260771
Rasa Ini,Vierratale,chorus,C,I,190.61260771,191.634285714
Rasa Ini,Vierratale,chorus,F,IV,191.634285714,193.584761905
Rasa Ini,Vierratale,chorus,Em,iii,193.584761905,195.488798186
Rasa Ini,Vierratale,chorus,Am,vi,195.488798186,197.416054422
